description,author,rating,reviews,price,url
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,4.7 out of 5 stars,by ,₹989₹989,https://www.amazon.in///Python-Crash-Course-Eric-Matthes/dp/1593279280/ref=sr_1_1?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-1
"Core Java: An Integrated Approach, New: Includes All Versions upto Java 8",DT Editorial Services,4.6 out of 5 stars,by ,₹518₹518,https://www.amazon.in///Core-Java-Integrated-Approach-Versions/dp/9351199258/ref=sr_1_2?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-2
 , , , , ,https://www.amazon.in///Easiest-Book-Python-Ever/dp/1636698905/ref=sr_1_3?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-3
 , , , , ,https://www.amazon.in///Java-Script-Things-Hardware-Developers/dp/9386052024/ref=sr_1_4?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-4
 , , , , ,https://www.amazon.in///Mathematical-Programming-Dover-Computer-Science/dp/0486472132/ref=sr_1_5?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-5
Multiobjective Programming and Plan (Dover Books on Computer Science),Jared L.Cohon,4.3 out of 5 stars,by ,₹780₹780,https://www.amazon.in///Multiobjective-Programming-Dover-Computer-Science/dp/0486432637/ref=sr_1_6?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-6
The World of Programming Languages (Springer Books on Professional Computing),Michael Marcotty,,by ,"₹8,481₹8,481",https://www.amazon.in///Programming-Languages-Springer-Professional-Computing/dp/0387964401/ref=sr_1_7?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-7
 , , , , ,https://www.amazon.in///Optimization-Theory-Large-Syste-Mathematics/dp/0486419991/ref=sr_1_8?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-8
 , , , , ,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02687378ZRT5YORHR7T&url=%2FBasic-Computation-Programming-Subrata-Saha%2Fdp%2F1316601854%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847765%26sr%3D8-9-spons%26psc%3D1&qualifier=1612847765&id=3913578239306344&widgetName=sp_mtf
Artificial Intelligence For Dummies,Luca Massaron,4.3 out of 5 stars,by ,₹666₹666,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A025146715G0MDOTZOEFZ&url=%2FArtificial-Intelligence-Dummies-John-Mueller%2Fdp%2F8126576103%2Fref%3Dsr_1_10_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847765%26sr%3D8-10-spons%26psc%3D1&qualifier=1612847765&id=3913578239306344&widgetName=sp_mtf
 , , , , ,https://www.amazon.in///Zharkovs-Handbook-Visual-Studio-Programming-ebook/dp/B08W33PZHN/ref=sr_1_11?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-11
Mathematical Theory of Computation (Dover Books on Mathematics),Zohar Manna,4.3 out of 5 stars,by ,"₹1,400₹1,400",https://www.amazon.in///Mathematical-Theory-Computation-Dover-Mathematics/dp/0486432386/ref=sr_1_12?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-12
C#: Learn C# in One Day and Learn It Well. C# for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 3),Jamie Chan,4.4 out of 5 stars,by ,₹0₹0,https://www.amazon.in///Beginners-Hands-Project-Coding-Project-ebook/dp/B016Z18MLG/ref=sr_1_13?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-13
 , , , , ,https://www.amazon.in///Introduction-Matrices-Linear-Transformations-Mathematics/dp/048648159X/ref=sr_1_14?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-14
Finite-Dimensional Linear Analysis: A Systematic Presentation in Problem Form (Dover Books on Mathematics),I. M. Glazman,4.6 out of 5 stars,by ,₹750₹750,https://www.amazon.in///Finite-Dimensional-Linear-Analysis-Presentation-Mathematics/dp/0486453324/ref=sr_1_15?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-15
N-Person Game Theory: Concepts and Applications (Dover Books on Mathematics),Anatol Rapoport,5.0 out of 5 stars,by ,"₹1,500₹1,500",https://www.amazon.in///N-Person-Game-Theory-Applications-Mathematics/dp/0486414558/ref=sr_1_16?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-16
 , , , , ,https://www.amazon.in///Complete-Programming-Beginner-College-Students-ebook/dp/B08VWLTJC5/ref=sr_1_17?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-17
Python for Beginners : The Python Programming Crash Course for Beginners to Learn Python Coding Well in 1 Week with Hands-On Exercises,Daniel Bresler,,by ,₹0₹0,https://www.amazon.in///Python-Beginners-Programming-Hands-Exercises-ebook/dp/B08RY8Y56S/ref=sr_1_18?dchild=1&keywords=books+on+programming&qid=1612847765&sr=8-18
 , , , , ,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01463942YTCB2D5Q1X6V&url=%2FOrbans-Oral-Histology-Embryology-Package%2Fdp%2F8131254755%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847765%26sr%3D8-19-spons%26psc%3D1&qualifier=1612847765&id=3913578239306344&widgetName=sp_btf
 , , , , ,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0250139243WLHNS3UQ6F&url=%2FProgramming-Dummies-2ed-Andrie-Vries%2Fdp%2F8126562188%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847765%26sr%3D8-20-spons%26psc%3D1&qualifier=1612847765&id=3913578239306344&widgetName=sp_btf
 , , , , ,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07872721BQPLBS2BVZQD&url=%2FHowkins-Bourne-Shaws-Textbook-Gynaecology%2Fdp%2F8131254119%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847765%26sr%3D8-21-spons%26psc%3D1&qualifier=1612847765&id=3913578239306344&widgetName=sp_btf
 , , , , ,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06527781RQ8Y34QNVLO9&url=%2FDiseases-Nose-throat-Head-Surgery%2Fdp%2F8131248844%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847765%26sr%3D8-22-spons%26psc%3D1&qualifier=1612847765&id=3913578239306344&widgetName=sp_btf
Data Science and Machine Learning Interview Questions Using R: Crack the Data Scientist and Machine Learning Engineers Interviews with Ease (English Edition),Vishwanathan Narayanan,5.0 out of 5 stars,by ,₹398₹398,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0487840G7TX67M5WHU2&url=%2FScience-Machine-Learning-Interview-Questions%2Fdp%2F938984584X%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847790%26sr%3D8-17-spons%26psc%3D1%26smid%3DA15DBATYR506U3&qualifier=1612847790&id=8248925051894699&widgetName=sp_atf_next
 , , , , ,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0674932381DT53L9EOGQ&url=%2FAdvanced-Interview-Questions-Youll-Likely%2Fdp%2F1946383228%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847791%26sr%3D8-33-spons%26psc%3D1&qualifier=1612847791&id=1054811736623193&widgetName=sp_atf_next
